Vivado Simulator 2019.1
Time resolution is 1 ps
Correct equal!   res_equal:1, res_b_bigger:0, res_a_bigger:0, a:0000, b:0000
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:0001
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:0010
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:0011
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:0100
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:0101
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:0110
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:0111
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1000
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1001
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1010
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1011
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1100
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1101
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1110
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0000, b:1111
Correct a_bigger!   res_equal:0, res_b_bigger:0, res_a_bigger:1, a:0001, b:0000
Correct equal!   res_equal:1, res_b_bigger:0, res_a_bigger:0, a:0001, b:0001
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:0010
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:0011
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:0100
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:0101
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:0110
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:0111
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1000
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1001
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1010
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1011
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1100
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1101
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1110
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0001, b:1111
Correct a_bigger!   res_equal:0, res_b_bigger:0, res_a_bigger:1, a:0010, b:0000
Correct a_bigger!   res_equal:0, res_b_bigger:0, res_a_bigger:1, a:0010, b:0001
Correct equal!   res_equal:1, res_b_bigger:0, res_a_bigger:0, a:0010, b:0010
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:0011
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:0100
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:0101
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:0110
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:0111
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1000
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1001
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1010
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1011
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1100
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1101
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1110
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0010, b:1111
Correct a_bigger!   res_equal:0, res_b_bigger:0, res_a_bigger:1, a:0011, b:0000
Correct a_bigger!   res_equal:0, res_b_bigger:0, res_a_bigger:1, a:0011, b:0001
Correct a_bigger!   res_equal:0, res_b_bigger:0, res_a_bigger:1, a:0011, b:0010
Correct equal!   res_equal:1, res_b_bigger:0, res_a_bigger:0, a:0011, b:0011
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0011, b:0100
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0011, b:0101
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0011, b:0110
Correct b_bigger!   res_equal:0, res_b_bigger:1, res_a_bigger:0, a:0011, b:0111
